Gene,Inheritance
ABCA2,"AR (Intellectual developmental disorder with poor growth and with or without seizures or ataxia); AR (?Hypertrichosis, congenital generalized, with gingival hyperplasia); AD (HDL deficiency, familial, 1); AR (Tangier disease)",
ABCA3,"AR (Surfactant metabolism dysfunction, pulmonary, 3); AR (Amelia, posterior, with pelvic and pulmonary hypoplasia syndrome); AD (Ischiocoxopodopatellar syndrome with or without pulmonary arterial hypertension); Chromosome 17q23.1-q23.2 deletion syndrome; AR (Ichthyosis, congenital, autosomal recessive 4A); AR (Ichthyosis, congenital, autosomal recessive 4B (harlequin))",
ABCA4,"AD ({Macular degeneration, age-related, 2}); AR (Cone-rod dystrophy 3); AR (Fundus flavimaculatus); AR (Retinal dystrophy, early-onset severe); AR (Retinitis pigmentosa 19); AR (Stargardt disease 1); AR (Cone-rod dystrophy 12); AD (Macular dystrophy, retinal, 2); AR (Retinitis pigmentosa 41); AD (Stargardt disease 4); AD (Orofacial cleft-1)",
ABCA5,"AR (?Hypertrichosis, congenital generalized, with gingival hyperplasia); AR (Hypertrichosis terminalis, generalized, with or without gingival hyperplasia); AR (Intellectual developmental disorder with poor growth and with or without seizures or ataxia); AD (?Hypertrichosis universalis congenita, Ambras type)",
ABCA6,"AR (Hypertrichosis terminalis, generalized, with or without gingival hyperplasia)",
ABCA7,"AD ({Alzheimer disease 9, susceptibility to}); AR (Intellectual developmental disorder with poor growth and with or without seizures or ataxia); AR (Ichthyosis, congenital, autosomal recessive 4A); AR (Ichthyosis, congenital, autosomal recessive 4B (harlequin))",
ABCA8,"AR (Hypertrichosis terminalis, generalized, with or without gingival hyperplasia)",
ABCA9,"AR (Hypertrichosis terminalis, generalized, with or without gingival hyperplasia)",
ABCB1,"{Colchicine resistance}; {Inflammatory bowel disease 13}; AR (Encephalopathy, acute transient); AR (Clopidogrel, impaired responsiveness to); AR (Mephenytoin poor metabolizer); AR (Omeprazole poor metabolizer); AR (Proguanil poor metabolizer); {Opioid dependence, susceptibility to, 1}; AD (Holoprosencephaly 3); AD (Microphthalmia/coloboma 5); AD (Single median maxillary central incisor); AR (Myoectodermal gonadal dysgenesis syndrome); AD (Spermatogenic failure 36); [Junior blood group system]; AD ([Uric acid concentration, serum, QTL1])",
ABCB11,"AR (Cholestasis, benign recurrent intrahepatic, 2); AR (Cholestasis, progressive familial intrahepatic 2); AR (Cholestasis, progressive familial intrahepatic, 5); [Fasting plasma glucose level QTL 1]; AR (?Cholestasis, progressive familial intrahepatic, 11); [Blood group, John-Milton-Hagen system]; AR (Cholestasis, progressive familial intrahepatic, 8)",
ABCB4,"AR (Cholestasis, intrahepatic, of pregnancy, 3); AR (Cholestasis, progressive familial intrahepatic 3); AR (Gallbladder disease 1); AR (Cholestasis, progressive familial intrahepatic, 10); AR (Diarrhea 2, with microvillus atrophy, with or without cholestasis)",
ABCB5,"AD ({Melanoma, cutaneous malignant, 1})",
ABCB6,"[Blood group, Langereis system]; AD (Dyschromatosis universalis hereditaria 3); AD (Microphthalmia/coloboma 7); AD (Pseudohyperkalemia, familial, 2, due to red cell leak); Microphthalmia with coloboma 1; Dyschromatosis universalis hereditaria 2",
ABCB7,"Anemia, sideroblastic, with ataxia; AR (Neurodevelopmental disorder with cerebellar atrophy and with or without seizures); AR (Rigidity and multifocal seizure syndrome, lethal neonatal); [Blood group, Langereis system]; AD (Dyschromatosis universalis hereditaria 3); AD (Microphthalmia/coloboma 7); AD (Pseudohyperkalemia, familial, 2, due to red cell leak)",
ABCB9,AR (Kaya-Barakat-Masson syndrome),
ABCC1,"AD (?Deafness, autosomal dominant 77); AR (Arterial calcification, generalized, of infancy, 2); AR (Pseudoxanthoma elasticum); AD (Pseudoxanthoma elasticum, forme fruste); Adrenoleukodystrophy; Adrenomyeloneuropathy, adult",
ABCC11,"AD ([Axillary odor, variation in]); AD ([Colostrum secretion, variation in]); AD ([Earwax, wet/dry])",
ABCC12,"AD ([Axillary odor, variation in]); AD ([Colostrum secretion, variation in]); AD ([Earwax, wet/dry])",
ABCC2,"AR (Dubin-Johnson syndrome); AR (Deafness, autosomal recessive 24); AR (?Cholestasis, progressive familial intrahepatic, 11); [Blood group, John-Milton-Hagen system]; AD (?Deafness, autosomal dominant 77); AR (Cholestasis, progressive familial intrahepatic, 8)",
ABCC3,"Hyperbilirubinemia, Rotor type, digenic; Hyperbilirubinemia, Rotor type, digenic; AD (?Deafness, autosomal dominant 77); AR (?Cholestasis, progressive familial intrahepatic, 6); AD ([Axillary odor, variation in]); AD ([Colostrum secretion, variation in]); AD ([Earwax, wet/dry])",
ABCC4,"AR (Cholestasis, progressive familial intrahepatic, 5); AD ([Axillary odor, variation in]); AD ([Colostrum secretion, variation in]); AD ([Earwax, wet/dry])",
ABCC5,"AD (?Deafness, autosomal dominant 77); AD ([Axillary odor, variation in]); AD ([Colostrum secretion, variation in]); AD ([Earwax, wet/dry])",
ABCC6,"AR (Arterial calcification, generalized, of infancy, 2); AR (Pseudoxanthoma elasticum); AD (Pseudoxanthoma elasticum, forme fruste); Pseudoxanthoma elasticum-like disorder with multiple coagulation factor deficiency; AR (Vitamin K-dependent clotting factors, combined deficiency of, 1); AR (Spastic paraplegia 56, autosomal recessive); AD ({Diabetes mellitus, non-insulin-dependent, susceptibility to}); AR ({Obesity, susceptibility to}); AR (Arterial calcification, generalized, of infancy, 1); AD (Cole disease); AR (Hypophosphatemic rickets, autosomal recessive, 2); {Microvascular complications of diabetes 1}",
ABCC8,"AD (Diabetes mellitus, noninsulin-dependent); AR (Diabetes mellitus, permanent neonatal 3); AD (Diabetes mellitus, transient neonatal 2); AR (Hyperinsulinemic hypoglycemia, familial, 1); AD (Hypoglycemia of infancy, leucine-sensitive); AD (Maturity-onset diabetes of the young, type 12); AD (Diabetes mellitus, transient neonatal 3); AD (Diabetes, permanent neonatal 2, with or without neurologic features); AR (Hyperinsulinemic hypoglycemia, familial, 2); AD (Maturity-onset diabetes of the young, type 13); AR ({Diabetes mellitus, transient neonatal 1})",
ABCC9,"AD (?Atrial fibrillation, familial, 12); AD (Cardiomyopathy, dilated, 1O); AD (Hypertrichotic osteochondrodysplasia (Cantu syndrome)); AR (Intellectual disability and myopathy syndrome); AD (Diabetes mellitus, transient neonatal 3); AD (Diabetes, permanent neonatal 2, with or without neurologic features); AR (Hyperinsulinemic hypoglycemia, familial, 2); AD (Maturity-onset diabetes of the young, type 13); AD (Atrial fibrillation, familial, 1)",
ABCD1,"Adrenoleukodystrophy; Adrenomyeloneuropathy, adult; AR (Methylmalonic aciduria and homocystinuria, cblJ type); AR (Retinal dystrophy with leukodystrophy); AD (?Neuropathy, inflammatory demyelinating); AD (Charcot-Marie-Tooth disease, type 1A); AD (Charcot-Marie-Tooth disease, type 1E); AR (Dejerine-Sottas disease); AD (Neuropathy, recurrent, with pressure palsies); AD (Roussy-Levy syndrome)",
ABCD2,"Adrenoleukodystrophy; Adrenomyeloneuropathy, adult; AR (Methylmalonic aciduria and homocystinuria, cblJ type)",
ABCD3,"AR (?Bile acid synthesis defect, congenital, 5); Adrenoleukodystrophy; Adrenomyeloneuropathy, adult; AR (Methylmalonic aciduria and homocystinuria, cblJ type)",
ABCD4,"AR (Methylmalonic aciduria and homocystinuria, cblJ type); AR (Methylmalonic aciduria and homocystinuria, cblF type); Adrenoleukodystrophy; Adrenomyeloneuropathy, adult",
ABCG1,"AD (HDL deficiency, familial, 1); AR (Tangier disease); Down syndrome; AD ({Diabetes, type 2}); AD (Insulin resistance, severe, digenic); AD (Lipodystrophy, familial partial, type 3); AR (Obesity, severe); AR (Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy); AD ({?Alzheimer disease, protection against, due to APOE3-Christchurch}); AD ({?Macular degeneration, age-related}); {Coronary artery disease, severe, susceptibility to}; AD (Alzheimer disease 2); Hyperlipoproteinemia, type III; Lipoprotein glomerulopathy; AR (Sea-blue histiocyte disease)",
ABCG2,"[Junior blood group system]; AD ([Uric acid concentration, serum, QTL1]); {Colchicine resistance}; {Inflammatory bowel disease 13}; AR (Encephalopathy, acute transient); AD (Holoprosencephaly 3); AD (Microphthalmia/coloboma 5); AD (Single median maxillary central incisor); AD (Polycystic kidney disease 2)",
ABCG5,"AR (Sitosterolemia 2); {Gallbladder disease 4}; AR (Sitosterolemia 1); Diabetes mellitus, insulin-resistant, with acanthosis nigricans; AR (Donohue syndrome); AD (Hyperinsulinemic hypoglycemia, familial, 5); AR (Rabson-Mendenhall syndrome); Rhabdomyosarcoma, alveolar; AD (Abdominal obesity-metabolic syndrome 1)",
ABCG8,"{Gallbladder disease 4}; AR (Sitosterolemia 1); AR (Sitosterolemia 2); Diabetes mellitus, insulin-resistant, with acanthosis nigricans; AR (Donohue syndrome); AD (Hyperinsulinemic hypoglycemia, familial, 5); AR (Rabson-Mendenhall syndrome); Rhabdomyosarcoma, alveolar",
ABHD12,"AR (Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract); AR (Spastic paraplegia 86, autosomal recessive)",
ABHD16A,"AR (Spastic paraplegia 86, autosomal recessive)",
ABHD17A,"?RAS-associated autoimmune lymphoproliferative syndrome type IV, somatic; Colorectal cancer, somatic; Epidermal nevus, somatic; Melanocytic nevus syndrome, congenital, somatic; Neurocutaneous melanosis, somatic; AD (Noonan syndrome 6); Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic; Thyroid carcinoma, follicular, somatic",
ABHD2,AR (Spermatogenic failure 7),
ABHD5,"AR (Chanarin-Dorfman syndrome); AD (Lipodystrophy, familial partial, type 4); AR (Neutral lipid storage disease with myopathy)",
ABHD6,"AR (Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract)",
ABHD8,"AD (CINCA syndrome); AD (Deafness, autosomal dominant 34, with or without inflammation); AD (Familial cold inflammatory syndrome 1); AD (Keratoendothelitis fugax hereditaria); AD (Muckle-Wells syndrome)",
ABI1,"AD (Wiedemann-Steiner syndrome); AR (?Deafness, autosomal recessive 102); AD (Intellectual developmental disorder, autosomal dominant 48)",
ABI2,"AD (Intellectual developmental disorder, autosomal dominant 26); AD (Intellectual developmental disorder, autosomal dominant 48); AD (Neurodevelopmental disorder with absent language and variable seizures)",
ABL1,"AD (Congenital heart defects and skeletal malformations syndrome); Leukemia, Philadelphia chromosome-positive, resistant to imatinib; AR ({Encephalopathy, acute, infection-induced, susceptibility to, 9}); Leukemia, acute myeloid, somatic; Leukemia, T-cell acute lymphoblastic, somatic; Leukemia, acute lymphocytic, Philadelphia chromosome positive, somatic; Leukemia, chronic myeloid, Philadelphia chromosome positive, somatic; AD (Immunodeficiency, common variable, 13); {Leukemia, acute lymphocytic, susceptibility to, 1}; {Leukemia, acute lymphoblastic, susceptibility to, 2}",
ABL2,"Leukemia, acute myeloid, somatic; AD (Thrombocytopenia 5); AR (Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects); AR (Fetal akinesia deformation sequence 1); AR (Myasthenic syndrome, congenital, 9, associated with acetylcholine receptor deficiency); AD (Congenital heart defects and skeletal malformations syndrome); Leukemia, Philadelphia chromosome-positive, resistant to imatinib",
ABO,"[Blood group, ABO system]; AR (Anemia, congenital, nonspherocytic hemolytic, 3, adenylate kinase deficient); [Bilirubin, serum level of, QTL1]; AR ([Gilbert syndrome]); AR (Crigler-Najjar syndrome, type I); AR (Crigler-Najjar syndrome, type II); AR (Hyperbilirubinemia, familial transient neonatal); AR ({Lead poisoning, susceptibility to}); AR (Porphyria, acute hepatic)",
ABR,"AR (Spastic paraplegia, optic atrophy, and neuropathy)",
ABRA,"AD (Corneal dystrophy, punctiform and polychromatic pre-Descemet); AR (Spinocerebellar ataxia, autosomal recessive 32); AR (Cerebellar hypoplasia/atrophy, epilepsy, and global developmental delay); AD (Focal segmental glomerulosclerosis 10); AD (Nail-patella syndrome)",
ABT1,"AR (Charcot-Marie-Tooth disease, axonal, type 2S); AR (Neuronopathy, distal hereditary motor, autosomal recessive 1)",
ACAA1,AR (?Leukoencephalopathy with dystonia and motor neuropathy); AD (Mitchell syndrome); AR (Peroxisomal acyl-CoA oxidase deficiency),
ACACA,"AR (Acetyl-CoA carboxylase deficiency); AR (Obesity, morbid, due to leptin deficiency); AD (?Juvenile myelomonocytic leukemia); AD (Noonan syndrome-like disorder with or without juvenile myelomonocytic leukemia); AD (HDL deficiency, familial, 1); AR (Tangier disease)",
ACACB,AR (Acetyl-CoA carboxylase deficiency),
ACAD8,AR (Isobutyryl-CoA dehydrogenase deficiency); AR (2-methylbutyrylglycinuria),
ACAD9,"AR (Mitochondrial complex I deficiency, nuclear type 20); AR (Mitochondrial complex I deficiency, nuclear type 29)",
ACADL,AR (Isobutyryl-CoA dehydrogenase deficiency); AR (VLCAD deficiency),
ACADM,"AR (Acyl-CoA dehydrogenase, medium chain, deficiency of); AR (Congenital disorder of glycosylation, type It); AR (Glutaric acidemia IIB); AR (Isobutyryl-CoA dehydrogenase deficiency); AR (VLCAD deficiency)",
ACADS,"AR (Acyl-CoA dehydrogenase, short-chain, deficiency of); AR (Isobutyryl-CoA dehydrogenase deficiency); AR (Mitochondrial complex I deficiency, nuclear type 20); AR (2-methylbutyrylglycinuria); AR (Glutaric acidemia IIA); AR (VLCAD deficiency)",
ACADSB,AR (2-methylbutyrylglycinuria); AR (Isobutyryl-CoA dehydrogenase deficiency),
ACADVL,"AR (VLCAD deficiency); AR (Mitochondrial complex I deficiency, nuclear type 20); AD (Muscular dystrophy, limb-girdle, autosomal dominant 4); AR (Muscular dystrophy, limb-girdle, autosomal recessive 1); AR (Isobutyryl-CoA dehydrogenase deficiency)",
ACAN,"AD (?Spondyloepiphyseal dysplasia, Kimberley type); AD (Short stature and advanced bone age, with or without early-onset osteoarthritis and/or osteochondritis dissecans); AR (Spondyloepimetaphyseal dysplasia, aggrecan type); {Multiple sclerosis, susceptibility to, 1}; AD ({Sarcoidosis, susceptibility to, 1}); AD (Deafness, autosomal dominant 56)",
ACAT1,"AR (Alpha-methylacetoacetic aciduria); AR (Diarrhea 7, protein-losing enteropathy type); AD ({Breast cancer, susceptibility to}); AR (Ataxia-telangiectasia); Lymphoma, B-cell non-Hodgkin, somatic; Lymphoma, mantle cell, somatic; T-cell prolymphocytic leukemia, somatic; ?ACAT2 deficiency; AR ({Alzhieimer disease 17, susceptibility to}); AR (Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy 2)",
ACAT2,"?ACAT2 deficiency; AD (Intellectual developmental disorder with polymicrogyria and seizures); AD (Drug metabolism, altered, CES1-related); AR (Alpha-methylacetoacetic aciduria)",
ACBD3,"AD (Deafness, autosomal dominant 87); Diaphragmatic hernia 1",
ACBD4,"AD (Amyotrophic lateral sclerosis 8); AD (Spinal muscular atrophy, late-onset, Finkel type)",
ACBD5,AR (Retinal dystrophy with leukodystrophy); AD (Thrombocytopenia 2),
ACBD6,AR (Neurodevelopmental disorder with progressive movement abnormalities),
ACD,"AR (?Dyskeratosis congenita, autosomal dominant 6); AR (?Dyskeratosis congenita, autosomal recessive 7); AR (?Cerebroretinal microangiopathy with calcifications and cysts 3); AD (?Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 8); AD (Tumor predisposition syndrome 3); AR (?Mungan syndrome); AD (Cornelia de Lange syndrome 4); AR (Hemochromatosis, type 1)",
ACE,"[Angiotensin I-converting enzyme, benign serum increase]; {Microvascular complications of diabetes 3}; {Myocardial infarction, susceptibility to}; {SARS, progression of}; {Stroke, hemorrhagic}; AR (Renal tubular dysgenesis); AD ({IgA nephropathy, susceptibility to, 1}); AR (Renal tubular dysgenesis); AD (?Immune dysregulation, autoimmunity, and autoinflammation); AD (Autoinflammation, antibody deficiency, and immune dysregulation syndrome); AD (Familial cold autoinflammatory syndrome 3)",
ACE2,"AR (Hartnup disorder); {Hypertension, essential}; AR (Renal tubular dysgenesis)",
ACER2,"AR (?Leukodystrophy, progressive, early childhood-onset)",
ACER3,"AR (?Leukodystrophy, progressive, early childhood-onset)",
ACHE,"[Blood group, Yt system]; AR (Myasthenic syndrome, congenital, 5); AR ({Apnea, postanesthetic, susceptibility to, due to BCHE deficiency}); AR (Butyrylcholinesterase deficiency); AR (Dyssegmental dysplasia, Silverman-Handmaker type); AR (Schwartz-Jampel syndrome, type 1); {Autism susceptibility, X-linked 1}",
ACKR1,"AR ([Blood group, Duffy system]); AR ([White blood cell count QTL]); {Malaria, vivax, protection against}",
ACKR3,AR (?Oculomotor-abducens synkinesis),
ACLY,"AD (Neurodevelopmental disorder with or without autism or seizures); AD (Pseudohypoaldosteronism, type IIE); AD (Charcot-Marie-Tooth disease, axonal, type 2Z); AD (Developmental delay, impaired growth, dysmorphic facies, and axonal neuropathy); AD (HDL deficiency, familial, 1); AR (Tangier disease)",
ACO1,"AR (Infantile cerebellar-retinal degeneration); AR (Optic atrophy 9); AR (Myopathy with lactic acidosis, hereditary); AR (Friedreich ataxia); AR (Friedreich ataxia with retained reflexes); AR ({Lead poisoning, susceptibility to}); AR (Porphyria, acute hepatic)",
ACO2,"AR (Infantile cerebellar-retinal degeneration); AR (Optic atrophy 9); AR (Kanzaki disease); AR (Schindler disease, type I); AR (Schindler disease, type III); AR (Anemia, sideroblastic, 3, pyridoxine-refractory); AR (Spasticity, childhood-onset, with hyperglycinemia); AR (Mitochondrial myopathy, episodic, with optic atrophy and reversible leukoencephalopathy); AR (?Spastic paraplegia 74, autosomal recessive); AR (Multiple mitochondrial dysfunctions syndrome 3); AR (Metachromatic leukodystrophy)",
ACOD1,"AD ({Parkinson disease 26, autosomal dominant, susceptibility to})",
ACOT7,"AD (Epilepsy, familial temporal lobe, 2)",
ACOX1,"AD (Mitchell syndrome); AR (Peroxisomal acyl-CoA oxidase deficiency); AR (Retinal dystrophy with leukodystrophy); AR (Bile acid synthesis defect, congenital, 6); AD (Adiponectin deficiency)",
ACOX2,"AR (Bile acid synthesis defect, congenital, 6); AD (Mitchell syndrome); AR (Peroxisomal acyl-CoA oxidase deficiency)",
ACOX3,AD (Mitchell syndrome); AR (Peroxisomal acyl-CoA oxidase deficiency),
ACP1,"AD (?Keratoderma, palmoplantar, punctate type 3); AR (?Developmental and epileptic encephalopathy 88); AR (?Lysosomal acid phosphatase deficiency); AR ({Obesity, early-onset, susceptibility to}); AR (Obesity, adrenal insufficiency, and red hair due to POMC deficiency)",
ACP2,"AR (?Lysosomal acid phosphatase deficiency); AR (Spondyloenchondrodysplasia with immune dysregulation); {Malaria, resistance to}; AD (Delta-beta thalassemia); AD (Erythrocytosis, familial, 6); AD (Heinz body anemia); AD (Hereditary persistence of fetal hemoglobin); AD (Methemoglobinemia, beta type); AR (Sickle cell disease); AD (Thalassemia-beta, dominant inclusion-body); Thalassemia, beta; AR (Cortical dysplasia, complex, with other brain malformations 10); AR (Intellectual developmental disorder, autosomal recessive 74); Supranuclear palsy, progressive, 3; AR (Amelogenesis imperfecta, type IJ)",
ACP4,"AR (Amelogenesis imperfecta, type IJ); AD (Amelogenesis imperfecta, type IB); AR (Amelogenesis imperfecta, type IC)",
ACP5,AR (Spondyloenchondrodysplasia with immune dysregulation),
ACR,"AR (?Spermatogenic failure 87); Chromosome 22q13 duplication syndrome; AD (Autoinflammatory disease, systemic, with vasculitis); AD ({Malignant hyperthermia susceptibility 1}); AD (Congenital myopathy 1A, autosomal dominant, with susceptibility to malignant hyperthermia); AR (Congenital myopathy 1B, autosomal recessive); AD (King-Denborough syndrome)",
ACRV1,"AD (Brachydactyly, type B2); AD (Multiple synostoses syndrome 1); AD (Stapes ankylosis with broad thumbs and toes); AD (Symphalangism, proximal, 1A); AD (Tarsal-carpal coalition syndrome); AR (Spermatogenic failure 78)",
ACSBG1,"AR (Methylmalonic aciduria and homocystinuria, cblJ type); Adrenoleukodystrophy; Adrenomyeloneuropathy, adult",
ACSF3,"AR (Combined malonic and methylmalonic aciduria); AR (Intellectual developmental disorder, autosomal recessive 69)",
ACSL4,"Intellectual developmental disorder, X-linked 63; AR (Neurodevelopmental disorder with hypotonia and seizures); AD (Coloboma, ocular, with or without hearing impairment, cleft lip/palate, and/or impaired intellectual development); Meningioma, NF2-related, somatic; Schwannomatosis, somatic; AD (Schwannomatosis, vestibular)",
ACSL5,AR (?Diarrhea 13),
ACSM1,"{?Hypertension, essential}",
ACSM3,"{?Hypertension, essential}",
ACTA1,"AD (?Myopathy, scapulohumeroperoneal); AD (Congenital myopathy 2A, typical, autosomal dominant); AR (Congenital myopathy 2B, severe infantile, autosomal recessive); AD (Congenital myopathy 2C, severe infantile, autosomal dominant); AD (Cardiomyopathy, dilated, 1C, with or without LVNC); AD (Cardiomyopathy, hypertrophic, 24); AD (Left ventricular noncompaction 3); AD (Myopathy, myofibrillar, 4); AD ({Epilepsy, idiopathic generalized, susceptibility to, 19}); AD (Arthrogryposis, distal, type 2A (Freeman-Sheldon)); AD (Arthrogryposis, distal, type 2B3 (Sheldon-Hall)); AD (Contractures, pterygia, and spondylocarpostarsal fusion syndrome 1A); AR (Contractures, pterygia, and spondylocarpotarsal fusion syndrome 1B); AD (Arthrogryposis, distal, type 1A); AD (Arthrogryposis, distal, type 2B4); AD (Congenital myopathy 23)",
ACTA2,"AD (Aortic aneurysm, familial thoracic 6); Moyamoya disease 5; AD (Smooth muscle dysfunction syndrome); AD (Baraitser-Winter syndrome 1); Becker nevus, syndromic or isolated, somatic mosaic; Congenital smooth muscle hamartoma with or without hemihypertrophy, somatic mosaic; AD (Dystonia-deafness syndrome 1); AD (Thrombocytopenia 8, with dysmorphic features and developmental delay); AD (Corneal dystrophy, Fuchs endothelial, 6); AD (Corneal dystrophy, posterior polymorphous, 3); AD (Megacystis-microcolon-intestinal hypoperistalsis syndrome 5); AD (Visceral myopathy 1); AD (Baraitser-Winter syndrome 2); AD (Deafness, autosomal dominant 20/26)",
ACTB,"AD (Baraitser-Winter syndrome 1); Becker nevus, syndromic or isolated, somatic mosaic; Congenital smooth muscle hamartoma with or without hemihypertrophy, somatic mosaic; AD (Dystonia-deafness syndrome 1); AD (Thrombocytopenia 8, with dysmorphic features and developmental delay); AD (Baraitser-Winter syndrome 2); AD (Deafness, autosomal dominant 20/26); AR (Spermatogenic failure 78); AD (?Myopathy, scapulohumeroperoneal); AD (Congenital myopathy 2A, typical, autosomal dominant); AR (Congenital myopathy 2B, severe infantile, autosomal recessive); AD (Congenital myopathy 2C, severe infantile, autosomal dominant)",
ACTBL2,AR (Spermatogenic failure 78),
ACTC1,"AD (Atrial septal defect 5); AD (Cardiomyopathy, dilated, 1R); AD (Cardiomyopathy, hypertrophic, 11); AD (Left ventricular noncompaction 4); AD (?Myopathy, scapulohumeroperoneal); AD (Congenital myopathy 2A, typical, autosomal dominant); AR (Congenital myopathy 2B, severe infantile, autosomal recessive); AD (Congenital myopathy 2C, severe infantile, autosomal dominant); AD (Aortic valve disease 3); AD (Aortic aneurysm, familial thoracic 6); Moyamoya disease 5; AD (Smooth muscle dysfunction syndrome)",
ACTG1,"AD (Baraitser-Winter syndrome 2); AD (Deafness, autosomal dominant 20/26); AD (Baraitser-Winter syndrome 1); Becker nevus, syndromic or isolated, somatic mosaic; Congenital smooth muscle hamartoma with or without hemihypertrophy, somatic mosaic; AD (Dystonia-deafness syndrome 1); AD (Thrombocytopenia 8, with dysmorphic features and developmental delay); AR (Ceroid lipofuscinosis, neuronal, 5); AD (?Myopathy, scapulohumeroperoneal); AD (Congenital myopathy 2A, typical, autosomal dominant); AR (Congenital myopathy 2B, severe infantile, autosomal recessive); AD (Congenital myopathy 2C, severe infantile, autosomal dominant); AD (Aortic aneurysm, familial thoracic 6); Moyamoya disease 5; AD (Smooth muscle dysfunction syndrome)",
ACTG2,"AD (Megacystis-microcolon-intestinal hypoperistalsis syndrome 5); AD (Visceral myopathy 1); AD (Aortic aneurysm, familial thoracic 6); Moyamoya disease 5; AD (Smooth muscle dysfunction syndrome)",
ACTL6A,"AR (Developmental and epileptic encephalopathy 76); AD (Intellectual developmental disorder with severe speech and ambulation defects); AD (Neurodevelopmental disorder with dysmorphic facies, sleep disturbance, and brain abnormalities); AD ({Rhabdoid tumor predisposition syndrome 1}); AD ({Schwannomatosis-1, susceptibility to}); AD (Coffin-Siris syndrome 3); Rhabdoid tumors, somatic; AD ({Hydrocephalus, congenital, 5, susceptibility to}); AD (Coffin-Siris syndrome 2); AD (?Otosclerosis 12); AD ({Rhabdoid tumor predisposition syndrome 2}); AD (Coffin-Siris syndrome 4); AD (Coffin-Siris syndrome 12)",
ACTL6B,"AR (Developmental and epileptic encephalopathy 76); AD (Intellectual developmental disorder with severe speech and ambulation defects); AD ({Wilms tumor 6, susceptibility to}); AD (Deafness, autosomal dominant 27); AD (Fibromatosis, gingival, 5)",
ACTL7A,"AR (Spermatogenic failure 86); AR (Spermatogenic failure 53); {Spermatogenic failure, X-linked, 8, susceptibility to}; AR (Spermatogenic failure 78); AR (?Spermatogenic failure 87); AR (?Spermatogenic failure 85)",
ACTL7B,AR (Spermatogenic failure 86); Hypertensive nephropathy,
ACTL9,AR (Spermatogenic failure 53); AR (Spermatogenic failure 86),
